   7295 
     48 CDH3_UP
      1 CDH4
      8 CDH4_UP
      2 CDH5
     83 CDH5_UP
      2 CDH7
      2 CDH8
      7 CDH9
      6 CDIPT_DOWN
      2 CDK2
    199 CDK2_UP
     37 CDK4
    968 CDK4_UP
      4 CDK5
     85 CDK5_DOWN
    344 CDK5R1_DOWN
    331 CDK5R2_DOWN
      1 CDK5RAP2
     15 CDK5RAP2_UP
      6 CDK6
      2 CDK7
     12 CDK7_UP
      1 CDKL2
      2 CDKN1A
     75 CDKN1A_UP
      2 CDKN1B
      3 CDKN1B_UP
    149 CDKN2A
    167 CDKN2A_UP
    126 CDKN2B
      8 CDKN2C
    333 CDKN2C_UP
      6 CDKN3_UP
     11 CDT1_UP
      2 CDX4
      8 CEACAM1_UP
      8 CEACAM5_UP
      8 CEACAM6_UP
    113 CEBPA_UP
      1 CEBPB
     79 CEBPB_UP
      1 CEBPG_UP
      1 CEBPZ_UP
     13 CECR1_DOWN
     69 CECR1_UP
      5 CELSR1
      1 CELSR2
     32 CELSR2_DOWN
      4 CELSR3
     33 CENPA_UP
      3 CENPE
     49 CENPE_UP
      4 CENPF
     37 CENPF_UP
      1 CENPH
      1 CENPI
      2 CENPM
      9 CENPM_UP
      8 CENPN_UP
      6 CENPQ_UP
      9 CEP135
     13 CEP135_UP
      1 CEP152
      5 CEP152_UP
      1 CEP170_DOWN
      6 CEP192_UP
      3 CEP250
      1 CEP290_UP
      4 CEP55
      2 CEP57_UP
      3 CEP63
      3 CEP70
      1 CEP76
      4 CEP76_UP
      2 CEP78
      4 CER1
      2 CES1
      8 CETN3_UP
      3 CFB
      1 CFD
     44 CFD_UP
      6 CFH
      2 CFHR3
     31 CFH_UP
    190 CFI_UP
     42 CFLAR_UP
      7 CFTR
      3 CFTR_UP
      1 CGA
      3 CHAF1A
      5 CHAF1A_UP
      1 CHD1L
     36 CHD1_UP
      1 CHD3
      1 CHD4
      1 CHD5
     28 CHD5_DOWN
      7 CHD7_UP
      1 CHD9_UP
      4 CHEK1
    357 CHEK1_UP
      4 CHEK2
    119 CHEK2_UP
     72 CHGA_DOWN
      3 CHI3L1
      3 CHI3L1_UP
      3 CHI3L2_UP
      5 CHL1
    266 CHL1_DOWN
      1 CHM
      1 CHML
    201 CHN1_DOWN
      4 CHN2
      2 CHP2
      1 CHRD
      2 CHRDL2
      6 CHRM2
      1 CHRM3
      3 CHRM4
      1 CHRM5
      1 CHRNA1
      1 CHRNA1_UP
      1 CHRNA7
