CDC20_UP	153	210	0.64	178	0.54	0.85	N	0.00200
CDC23_UP	75	11	0.03	11	0.03	1.00	N	0.18400
CDC25B_UP	25	12	0.04	10	0.03	0.83	N	0.21800
CDC40_UP	134	1	0.00	1	0.00	1.00	N	0.20200
CDC45L_UP	39	32	0.10	30	0.09	0.94	N	0.09800
CDC6_UP	86	24	0.07	22	0.07	0.92	N	0.51400
CDC7_UP	34	57	0.17	54	0.16	0.95	Y	0.00000
CDC73_UP	1	29	0.09	1	0.00	0.03	N	0.23000
CDCA3_UP	1	46	0.14	32	0.10	0.70	N	0.19000
CDCA8_UP	86	13	0.04	9	0.03	0.69	N	0.88400
CDH1_UP	185	8	0.02	7	0.02	0.88	N	0.81400
CDH11_UP	105	67	0.20	39	0.12	0.58	Y	0.00000
CDH17_UP	106	2	0.01	2	0.01	1.00	N	0.10600
CDH19_UP	105	16	0.05	9	0.03	0.56	N	0.06400
CDH2_UP	115	5	0.02	4	0.01	0.80	N	0.51000
CDH3_UP	141	13	0.04	12	0.04	0.92	N	0.20800
CDH4_UP	105	6	0.02	4	0.01	0.67	N	0.16600
CDH5_UP	115	20	0.06	17	0.05	0.85	N	0.05800
CDK2_UP	199	25	0.08	24	0.07	0.96	N	0.59400
CDK4_UP	128	249	0.76	228	0.70	0.92	Y	0.00000
CDK5RAP2_UP	68	8	0.02	4	0.01	0.50	N	0.73400
CDK7_UP	167	3	0.01	3	0.01	1.00	N	0.89400
CDKN1A_UP	136	44	0.13	31	0.09	0.70	N	0.37800
CDKN1B_UP	121	1	0.00	1	0.00	1.00	N	0.96600
CDKN2A_UP	54	46	0.14	44	0.13	0.96	Y	0.00000
CDKN2C_UP	15	215	0.66	177	0.54	0.82	Y	0.00000
CDKN3_UP	7	89	0.27	6	0.02	0.07	N	0.52400
CDT1_UP	29	2	0.01	2	0.01	1.00	N	0.90400
CEACAM1_UP	12	2	0.01	2	0.01	1.00	N	0.99400
CEACAM5_UP	4	10	0.03	2	0.01	0.20	N	0.98800
CEACAM6_UP	5	18	0.05	2	0.01	0.11	N	0.99000
CEBPA_UP	127	21	0.06	19	0.06	0.90	N	0.79600
CEBPB_UP	95	16	0.05	14	0.04	0.88	N	0.87000
CEBPG_UP	8	11	0.03	1	0.00	0.09	N	0.66600
CEBPZ_UP	3	1	0.00	1	0.00	1.00	N	0.06200
CECR1_UP	7	20	0.06	15	0.05	0.75	N	0.81800
CENPA_UP	85	75	0.23	23	0.07	0.31	N	0.99600
CENPE_UP	81	55	0.17	20	0.06	0.36	N	0.99200
CENPF_UP	77	125	0.38	29	0.09	0.23	N	1.00000
CENPM_UP	77	19	0.06	7	0.02	0.37	N	0.61000
CENPN_UP	77	20	0.06	6	0.02	0.30	N	0.83000
CENPQ_UP	77	11	0.03	4	0.01	0.36	N	0.78400
CEP135_UP	66	18	0.05	10	0.03	0.56	N	0.01800
CEP152_UP	66	6	0.02	2	0.01	0.33	N	0.63000
CEP192_UP	66	3	0.01	2	0.01	0.67	N	0.80000
CEP290_UP	66	1	0.00	1	0.00	1.00	N	0.24600
CEP57_UP	69	5	0.02	1	0.00	0.20	N	0.75600
CEP76_UP	66	6	0.02	2	0.01	0.33	N	0.59200
CETN3_UP	2	6	0.02	1	0.00	0.17	N	1.00000
CFD_UP	5	35	0.11	11	0.03	0.31	N	0.80200
CFH_UP	4	32	0.10	12	0.04	0.38	N	0.39000
CFI_UP	2	229	0.70	57	0.17	0.25	N	0.31600
CFLAR_UP	34	6	0.02	4	0.01	0.67	N	0.92000
CFTR_UP	37	1	0.00	1	0.00	1.00	N	0.99400
CHAF1A_UP	30	2	0.01	1	0.00	0.50	N	0.99800
CHD1_UP	2	83	0.25	12	0.04	0.14	N	0.53000
CHD7_UP	4	52	0.16	7	0.02	0.13	Y	0.00000
CHD9_UP	11	2	0.01	1	0.00	0.50	N	0.08400
CHEK1_UP	54	51	0.16	49	0.15	0.96	N	0.04400
CHEK2_UP	31	14	0.04	13	0.04	0.93	N	0.63400
CHI3L1_UP	4	243	0.74	3	0.01	0.01	N	0.96200
CHI3L2_UP	1	250	0.76	3	0.01	0.01	N	0.95400
CHRNA1_UP	46	3	0.01	1	0.00	0.33	N	0.72600
CHUK_UP	86	3	0.01	2	0.01	0.67	N	0.44200
CIB1_UP	11	12	0.04	6	0.02	0.50	N	0.39400
CISH_UP	29	3	0.01	1	0.00	0.33	N	1.00000
CITED1_UP	30	19	0.06	2	0.01	0.11	N	0.95000
CITED2_UP	22	11	0.03	4	0.01	0.36	N	0.96000
CKS1B_UP	62	115	0.35	84	0.26	0.73	Y	0.00000
CKS2_UP	13	286	0.87	122	0.37	0.43	N	0.00600
CLCN5_UP	4	2	0.01	1	0.00	0.50	N	0.03600
CLDN1_UP	13	9	0.03	5	0.02	0.56	N	0.12200
CLDN3_UP	7	8	0.02	1	0.00	0.12	N	1.00000
CLDN4_UP	5	18	0.05	1	0.00	0.06	N	0.30600
CLDN7_UP	6	24	0.07	8	0.02	0.33	Y	0.00000
CLEC10A_UP	2	4	0.01	3	0.01	0.75	N	0.96200
CLEC5A_UP	1	107	0.33	20	0.06	0.19	N	0.70000
CLIC1_UP	3	215	0.66	9	0.03	0.04	N	0.11400
CLK1_UP	15	83	0.25	46	0.14	0.55	Y	0.00000
CLOCK_UP	20	1	0.00	1	0.00	1.00	N	0.96800
CNGA3_UP	16	125	0.38	8	0.02	0.06	N	0.90200
CNN3_UP	1	221	0.67	6	0.02	0.03	N	0.85400
CNOT2_UP	13	11	0.03	4	0.01	0.36	N	0.13600
CNTN2_UP	14	1	0.00	1	0.00	1.00	N	0.92200
COL11A1_UP	80	69	0.21	60	0.18	0.87	Y	0.00000
COL13A1_UP	69	1	0.00	1	0.00	1.00	N	0.34800
COL15A1_UP	74	47	0.14	15	0.05	0.32	N	0.22800
COL16A1_UP	69	7	0.02	3	0.01	0.43	N	0.48200
COL17A1_UP	71	2	0.01	2	0.01	1.00	N	0.99800
COL18A1_UP	72	46	0.14	20	0.06	0.43	N	0.02200
COL1A1_UP	106	57	0.17	51	0.16	0.89	N	0.22000
COL1A2_UP	100	176	0.54	162	0.49	0.92	Y	0.00000
COL2A1_UP	85	4	0.01	4	0.01	1.00	N	0.63200
COL3A1_UP	86	253	0.77	228	0.70	0.90	Y	0.00000
COL4A1_UP	94	302	0.92	273	0.83	0.90	Y	0.00000
COL4A2_UP	94	259	0.79	229	0.70	0.88	Y	0.00000
COL4A4_UP	86	2	0.01	2	0.01	1.00	N	0.67000
COL4A5_UP	81	32	0.10	22	0.07	0.69	N	0.25800
COL5A1_UP	87	78	0.24	70	0.21	0.90	N	0.23400
COL5A2_UP	79	222	0.68	203	0.62	0.91	Y	0.00000
COL5A3_UP	78	4	0.01	4	0.01	1.00	N	0.20400
COL6A2_UP	84	68	0.21	63	0.19	0.93	N	0.07400
